,0,1,2,3,4,5,6,7,8,9,10,11,12
447,1491934189621,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
449,1491934189723,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
451,1491934189827,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
452,1491934189877,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
454,1491934190001,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
456,1491934190102,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
458,1491934190202,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
460,1491934190302,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
462,1491934190402,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
464,1491934190502,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
466,1491934190602,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
468,1491934190703,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
470,1491934190804,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
472,1491934190904,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
474,1491934191004,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
476,1491934191106,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
478,1491934191206,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
480,1491934191321,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
481,1491934191452,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
482,1491934191517,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
484,1491934191633,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
485,1491934191700,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
487,1491934191816,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
488,1491934191882,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.01,-0.00088,0.0,0.0,True
491,1491934192032,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
493,1491934192132,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
494,1491934192198,0.0,0.156,0.02,-0.0005,1.0,-0.0003,0.0,0.0,-0.00088,0.0,0.0,True
