,0,1,2,3,4,5,6,7,8,9,10,11,12
34,1510589784962,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
35,1510589785028,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.0,0.0,0.0,0.0,True
37,1510589785129,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
39,1510589785247,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.0,0.0,0.0,0.0,True
41,1510589785362,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
42,1510589785424,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
44,1510589785529,0.0,0.156,0.001,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
46,1510589785645,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
48,1510589785745,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
49,1510589785799,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
51,1510589785926,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
53,1510589786029,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
55,1510589786129,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
57,1510589786229,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
59,1510589786330,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
61,1510589786446,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
63,1510589786546,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
65,1510589786646,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
66,1510589786700,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
68,1510589786814,0.0,0.156,0.002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
70,1510589786946,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
72,1510589787047,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
74,1510589787157,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
75,1510589787213,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
78,1510589787363,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
79,1510589787413,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
81,1510589787514,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
83,1510589787614,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
86,1510589787764,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
87,1510589787814,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
89,1510589787914,0.0,0.156,0.003,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
91,1510589788020,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
93,1510589788131,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
95,1510589788231,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
97,1510589788331,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
99,1510589788453,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
101,1510589788565,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
102,1510589788616,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
104,1510589788748,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
105,1510589788821,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
107,1510589788948,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
109,1510589789061,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
110,1510589789115,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
112,1510589789233,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
114,1510589789349,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
116,1510589789449,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
118,1510589789549,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
120,1510589789650,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
121,1510589789717,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
123,1510589789849,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,-0.00015,0.0,0.0,True
125,1510589789956,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,-0.00015,0.0,0.0,True
