,name,frameTime,F0final_sma,F0finEnv_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,sourceQualityMean_sma,sourceQualityRange_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_intensity_sma,pcm_loudness_sma,F0final_sma_ff0
0,'unknown',0.0,132.8903,132.8903,0.7198234,0.347062,0.0,0.3997968,-6.4669,0.2670618,0.8558709999999999,3.9359879999999996,0.9883412,0.008833938000000001,0.1342361,0.1292162,0.2720484,0.41952790000000006,0.5544473000000001,0.6697289000000001,0.7658961,0.8470284,0.9178291999999999,0.9822495000000001,1.043099,1.102099,1.1600700000000002,1.217131,1.272837,1.3262120000000002,1.375581,1.418056,1.448481,1.457878,1.432704,1.358746,1.23234,1.0691549999999999,0.8959275999999999,0.7342484,0.5943311,2.521629e-08,0.1536454,132.8903
1,'unknown',0.1,107.4757,107.4757,0.7253069999999999,0.32255079999999997,0.20840010000000003,0.3055562,-7.347045,0.202681,0.624587,2.47497,0.9883412,0.006599821,0.07875,0.1292162,0.2720484,0.41952790000000006,0.5544473000000001,0.6697289000000001,0.7658961,0.8470284,0.9178291999999999,0.9822495000000001,1.043099,1.102099,1.1600700000000002,1.217131,1.272837,1.3262120000000002,1.375581,1.418056,1.448481,1.457878,1.432704,1.358746,1.23234,1.0691549999999999,0.8959275999999999,0.7342484,0.5943311,2.523359e-08,0.17092079999999998,107.4757
2,'unknown',0.2,78.89411,78.89411,0.7362811,0.29803959999999996,0.20840010000000003,0.2113156,-8.238365,0.09262925,0.5690189999999999,1.009625,0.9883412,0.004284791,0.02599537,0.1292162,0.2720484,0.41952790000000006,0.5544473000000001,0.6697289000000001,0.7658961,0.8470284,0.9178291999999999,0.9822495000000001,1.043099,1.102099,1.1600700000000002,1.217131,1.272837,1.3262120000000002,1.375581,1.418056,1.448481,1.457878,1.432704,1.358746,1.23234,1.0691549999999999,0.8959275999999999,0.7342484,0.5943311,2.5246020000000003e-08,0.1865634,78.89411
3,'unknown',0.3,64.75066,64.75066,0.7482634,0.29803959999999996,0.20840010000000003,0.2113156,-38.97336,-0.03573988,0.6236805000000001,0.7602627,0.9883412,0.001930008,0.02680556,0.1292162,0.2720484,0.41952790000000006,0.5544473000000001,0.6697289000000001,0.7658961,0.8470284,0.9178291999999999,0.9822495000000001,1.043099,1.102099,1.1600700000000002,1.217131,1.272837,1.3262120000000002,1.375581,1.418056,1.448481,1.457878,1.432704,1.358746,1.23234,1.0691549999999999,0.8959275999999999,0.7342484,0.5943311,5.1589859999999996e-11,0.05145064,64.75066
4,'unknown',0.4,0.0,0.0,0.0,0.0,0.0,0.0,-37.69255,0.0,0.0,0.7591711999999999,0.9636176,0.0017988589999999999,0.0312963,0.1330428,0.278642,0.4132879,0.5427781,0.6614886999999999,0.7561491,0.8180881999999999,0.8792853,0.9567201,1.0162280000000001,1.06653,1.111019,1.191092,1.248267,1.2939829999999999,1.331375,1.399141,1.4412479999999999,1.4258440000000001,1.382285,1.306547,1.1855950000000002,1.036353,0.8721213,0.7188983,0.5880466999999999,5.028662e-11,0.05104946,0.0
5,'unknown',0.5,120.0878,120.0878,0.7627417,0.12317089999999999,0.13420539999999997,0.26667399999999997,-36.63456,0.38197600000000004,1.0455889999999999,0.7787415,0.9546134000000001,0.00184366,0.03064815,0.13419029999999998,0.27902340000000003,0.41132029999999997,0.5435262,0.6560668000000001,0.7516549,0.8019834,0.8677988000000001,0.9583421,1.015997,1.051264,1.0940239999999999,1.182813,1.243849,1.285835,1.30992,1.391133,1.429129,1.4084889999999999,1.363984,1.2821879999999999,1.166752,1.026308,0.86834,0.7133538,0.5826585999999999,3.786429e-11,0.036717,120.0878
6,'unknown',0.6,103.9298,103.9298,0.749969,0.1299386,0.1296777,0.3177295,-5.621062,0.21681129999999998,0.9156441999999999,0.8953523999999999,0.9595153000000001,0.002120438,0.02844907,0.1317185,0.270704,0.4056982,0.5440146,0.6521768,0.7472718,0.8234869,0.888992,0.9880815000000001,1.035334,1.057769,1.098681,1.187943,1.245523,1.28344,1.314239,1.3953280000000001,1.423701,1.401605,1.372157,1.289281,1.178908,1.029875,0.8779868000000001,0.7206263,0.5828531,1.931226e-11,0.02870542,103.9298
7,'unknown',0.7,86.92471,86.92471,0.7358212,0.1434741,0.1206223,0.4198406,-6.554180000000001,0.1365907,0.7841007,1.083799,0.9843257,0.0023319879999999997,0.02594908,0.1281717,0.2687422,0.4130932,0.5538566,0.6654026999999999,0.7536371000000001,0.8571134,0.92786,1.014184,1.06884,1.103524,1.146258,1.204972,1.2629860000000002,1.3101049999999999,1.361968,1.408323,1.429414,1.433011,1.421794,1.343443,1.22127,1.063555,0.9044059000000001,0.7375103,0.5890308000000001,1.367094e-10,0.04371395,86.92471
8,'unknown',0.8,70.46961,70.46961,0.7372342,0.1434741,0.1206223,0.4198406,-38.1199,-0.002056465,0.6752263000000001,1.108844,0.9748114,0.002368253,0.02856482,0.1262076,0.27011609999999997,0.41663320000000004,0.5504611999999999,0.6661256999999999,0.758827,0.8334228000000001,0.8940700999999999,0.9542620999999999,1.017393,1.082128,1.143241,1.2056719999999999,1.258365,1.30595,1.376185,1.4108049999999999,1.438818,1.438605,1.414396,1.337934,1.210018,1.046893,0.8784523000000001,0.7215244000000001,0.5885935,1.511601e-10,0.05877234,70.46961
9,'unknown',0.9,0.0,0.0,0.0,0.0,0.0,0.0,-69.1334,0.0,0.0,0.9984122999999999,0.9705459999999999,0.001991888,0.031875,0.1291117,0.2768255,0.4247566,0.5488668000000001,0.6614787,0.7599263,0.8175786999999999,0.8752298000000001,0.9217264999999999,0.9896867,1.0737709999999998,1.141699,1.2073040000000002,1.256424,1.307765,1.368292,1.412608,1.452999,1.4460790000000001,1.398126,1.328243,1.207058,1.048275,0.8704117,0.7201991,0.5897536999999999,1.671791e-10,0.06611183,0.0
10,'unknown',1.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.4541,0.0,0.0,0.8348614999999999,0.9934775,0.001727465,0.0343287,0.1300415,0.2722403,0.4274929,0.5564123000000001,0.6637281,0.7679355,0.8463054,0.9244300999999999,0.9852408000000001,1.041611,1.112193,1.167914,1.218278,1.27678,1.329214,1.365661,1.422364,1.4573909999999999,1.46197,1.434821,1.3688209999999998,1.246029,1.0862829999999999,0.9132778,0.7563098,0.5976689000000001,3.3785270000000004e-11,0.03422907,0.0
11,'unknown',1.1,59.60491,59.60491,0.7251371999999999,0.0,0.0,0.0,-35.341390000000004,0.24776839999999997,0.288532,0.8370146999999999,1.012151,0.00169784,0.03127315,0.1303748,0.2684568,0.4189942,0.5544486999999999,0.672075,0.7695236,0.8898691999999999,0.9772856,1.0664870000000002,1.109634,1.131685,1.173079,1.2230809999999999,1.288485,1.343715,1.365051,1.417095,1.450957,1.485609,1.50326,1.40635,1.274526,1.1009309999999999,0.9308966000000001,0.7630305000000001,0.6010325,2.123518e-11,0.02677095,59.60491
