,0,1,2,3,4,5,6,7,8,9,10,11,12
121,1505519060521,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
123,1505519060622,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
125,1505519060739,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
127,1505519060839,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
128,1505519060906,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
130,1505519061031,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
132,1505519061139,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
134,1505519061255,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
136,1505519061356,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
137,1505519061407,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
139,1505519061539,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
141,1505519061639,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
143,1505519061740,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
145,1505519061856,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
147,1505519061956,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
148,1505519062006,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
151,1505519062157,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
152,1505519062210,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
154,1505519062324,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.0008900000000000001,0.0,0.0,True
156,1505519062440,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.0008900000000000001,0.0,0.0,True
