,0,1,2,3,4,5,6,7,8,9,10,11,12
383,1505422046185,0.0,0.156,0.016,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
385,1505422046286,0.0,0.156,0.016,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
387,1505422046386,0.0,0.156,0.016,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
389,1505422046486,0.0,0.156,0.016,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
391,1505422046586,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
393,1505422046686,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
395,1505422046786,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
397,1505422046886,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
399,1505422046986,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
401,1505422047103,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
403,1505422047204,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
405,1505422047320,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
407,1505422047420,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
408,1505422047470,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
410,1505422047570,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
413,1505422047720,0.0,0.156,0.017,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
415,1505422047820,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.0,0.0,True
416,1505422047871,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
418,1505422047971,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
420,1505422048071,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
423,1505422048221,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00013000000000000002,0.0,0.0,True
424,1505422048271,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00013000000000000002,0.0,0.0,True
426,1505422048371,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
428,1505422048471,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-9e-05,0.0,0.0,True
431,1505422048621,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-9e-05,0.10549325,0.0,True
432,1505422048671,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00013000000000000002,0.11721217,0.0,True
434,1505422048772,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.01,-0.00021,0.18752575,0.0,True
436,1505422048888,0.0,0.156,0.018000000000000002,-0.0005,1.0,-0.0003,0.0,0.0,-0.00021,0.35159072,0.0,True
438,1505422048988,0.0,0.156,0.019,-0.0005,1.0,-0.0003,0.0,0.04,-0.00021,0.38674754,0.0,True
440,1505422049088,0.0,0.156,0.021,-0.0005,1.0,-0.0003,0.0,0.12,-0.00029,0.39846644,0.0,True
442,1505422049188,0.0,0.156,0.026000000000000002,-0.0005,1.0,-0.0003,0.0,0.2,-0.00045,0.39846647,0.0,True
444,1505422049288,0.0,0.156,0.034,-0.0005,1.0,-0.0004,0.0,0.33,-0.00045,0.50393677,0.0,True
446,1505422049388,0.0,0.156,0.047,-0.0005,1.0,-0.0004,0.0,0.59,-0.00045,0.55081254,0.0,True
448,1505422049489,0.0,0.156,0.069,-0.0005,1.0,-0.0004,0.0001,0.9,-0.00045,0.5859693,0.0,True
450,1505422049589,0.0,0.156,0.1,-0.0005,1.0,-0.0005,0.0001,1.29,-0.00045,0.6914397,0.0,True
452,1505422049689,0.0,0.156,0.14400000000000002,-0.0005,1.0,-0.0006,0.0002,1.88,-0.00045,0.8437399999999999,0.0,True
454,1505422049789,0.0,0.156,0.21100000000000002,-0.0005,1.0,-0.0007,0.0003,2.76,-0.00045,0.9609291999999999,0.0,True
456,1505422049906,0.0,0.156,0.325,-0.0005,1.0,-0.0009,0.0004,4.18,-0.00045,1.1015563999999998,0.0,True
457,1505422049959,0.0,0.156,0.39,-0.0005,1.0,-0.0009,0.0005,4.91,-0.00045,1.1015563999999998,0.0,True
459,1505422050072,0.0,0.156,0.5820000000000001,-0.0005,1.0,-0.001,0.0007,6.66,-0.00045,1.0898374,0.0,True
